response_time_ms,request_size_bytes,requests_per_minute_from_ip,failed_login_attempts,refresh_token_calls_per_min,db_query_latency_ms,cpu_usage_percent,status_family,is_error,endpoint_risk_score,db_latency_spike,auth_failure_ratio
73.0,441.0,1.0,0.0,0.0,35.0,26.0,2.0,0.0,1.0,0.0,0.0
33.333333333333336,343.6666666666667,3.0,0.0,0.0,13.666666666666666,22.400000000000002,2.0,0.0,0.6666666666666666,19.3275853524323,0.0
92.0,299.0,2.0,0.0,0.0,73.0,25.4,3.0,1.0,1.0,5.0,0.0
61.0,233.0,2.0,0.0,0.0,43.0,16.4,2.0,0.0,1.0,43.0,0.0
7.0,258.0,1.0,0.0,0.0,0.0,17.4,2.0,0.0,1.0,0.0,0.0
145.0,354.0,1.0,0.0,0.0,108.0,28.5,2.0,0.0,1.0,0.0,0.0
125.0,259.0,1.0,0.0,0.0,90.0,32.6,2.0,0.0,3.0,0.0,0.0
20.0,107.0,1.0,0.0,0.0,0.0,13.4,2.0,0.0,0.0,0.0,0.0
62.333333333333336,325.6666666666667,3.0,0.0,1.0,41.0,14.233333333333334,2.0,0.0,1.6666666666666667,57.982756057296896,0.0
4.0,426.0,1.0,0.0,1.0,0.0,34.2,2.0,0.0,3.0,0.0,0.0
50.0,473.0,1.0,0.0,0.0,31.0,23.0,2.0,0.0,1.0,0.0,0.0
90.0,397.0,1.0,0.0,0.0,82.0,14.5,2.0,0.0,1.0,0.0,0.0
135.0,199.0,1.0,0.0,0.0,114.0,25.0,2.0,0.0,1.0,0.0,0.0
113.0,99.0,1.0,0.0,0.0,99.0,13.4,2.0,0.0,1.0,0.0,0.0
80.0,197.0,1.0,0.0,0.0,46.0,13.2,2.0,0.0,1.0,0.0,0.0
10.0,101.0,1.0,0.0,1.0,0.0,32.5,2.0,0.0,3.0,0.0,0.0
4.0,405.0,1.0,0.0,1.0,0.0,16.3,2.0,0.0,3.0,0.0,0.0
3.5,238.5,2.0,0.0,1.0,0.0,22.15,2.0,0.0,2.0,0.0,0.0
5.5,302.5,2.0,0.0,1.0,0.0,21.9,2.0,0.0,1.5,0.0,0.0
32.0,129.0,1.0,0.0,0.0,24.0,15.4,2.0,0.0,3.0,0.0,0.0
65.0,469.0,2.0,0.0,0.0,42.0,15.25,2.0,0.0,1.0,5.0,0.0
62.0,268.0,1.0,0.0,0.0,61.0,18.1,2.0,0.0,1.0,0.0,0.0
35.0,194.0,1.0,0.0,0.0,30.0,33.8,2.0,0.0,1.0,0.0,0.0
115.0,271.0,1.0,0.0,0.0,88.0,15.2,2.0,0.0,2.0,0.0,0.0
110.0,325.0,1.0,0.0,0.0,89.0,12.9,2.0,0.0,1.0,0.0,0.0
54.0,139.0,1.0,0.0,0.0,26.0,32.7,2.0,0.0,3.0,0.0,0.0
99.0,139.0,1.0,0.0,0.0,93.0,15.6,2.0,0.0,1.0,0.0,0.0
73.6,420.0,5.0,0.0,1.0,53.8,26.060000000000002,2.0,0.0,1.8,45.450632558854444,0.0
79.0,294.0,1.0,0.0,0.0,48.0,20.7,2.0,0.0,1.0,0.0,0.0
